Norm followers,,,,,Norm breakers,,,,,Mixed,,,,,
Money,reputation,jobs lost,clients served,norms broken,Money,reputation,jobs lost,clients served,norms broken,Money,reputation,jobs lost,clients served,norms broken,
626.61,100%,0,41,0,623.27,32%,123,35,71,921.82,79%,15,49,17,
840.06,100%,0,40,0,597.51,7%,173,29,83,706.08,100%,0,42,0,
744.20,100%,1,44,0,695.53,30%,122,38,68,396.95,25%,220,28,60,
722.15,100%,0,42,0,529.52,26%,177,32,81,918.54,100%,0,47,0,
706.94,100%,0,44,0,583.77,18%,216,27,85,409.16,27%,198,28,63,
712.12,100%,0,40,0,358.96,8%,283,25,103,721.70,100%,0,46,0,
815.18,100%,0,39,0,598.72,19%,172,36,73,780.05,8%,115,36,38,
611.04,100%,0,45,0,676.31,15%,146,34,69,879.68,100%,0,49,0,
774.83,100%,0,42,0,666.96,4%,104,37,71,717.37,9%,120,34,41,
665.36,100%,0,43,0,364.40,17%,223,31,100,841.10,100%,0,45,0,
721.85,100%,0.10,42.00,0.00,569.50,18%,173.90,32.40,80.40,729.25,65%,66.80,40.40,21.90,mean
71.31,0%,0.30,1.90,0.00,113.80,9%,52.01,4.15,11.99,180.07,40%,84.16,7.84,24.87,std
,,,,,,,,,,,,,,,
,,,,,,,,,,813.42,1.00,0.00,45.80,0.00,Norm Mean
,,,,,,,,,,85.01907833,0,0,2.315167381,0,Norm std
,,,,,,,,,168.35,645.07,0.30,133.60,35.00,43.80,Non Norm mean
,,,,,,,,,,208.4488021,0.259198765,72.40055248,7.694153625,16.67812939,Non Norm std
